pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;384;0.00384
1;100000;159;0.00159
2;100000;551;0.00551
3;100000;88;0.00088
4;100000;204;0.00204
5;100000;92;0.00092
6;100000;299;0.00299
7;100000;180;0.0018
8;100000;446;0.00446
9;100000;52;0.00052
10;100000;505;0.00505
11;100000;62;0.00062
12;100000;340;0.0034
13;100000;48;0.00048
14;100000;651;0.00651
15;100000;43;0.00043
16;100000;288;0.00288
17;100000;520;0.0052
18;100000;862;0.00862
19;100000;249;0.00249
20;100000;868;0.00868
21;100000;238;0.00238
22;100000;449;0.00449
23;100000;209;0.00209
24;100000;126;0.00126
25;100000;813;0.00813
26;100000;457;0.00457
27;100000;842;0.00842
28;100000;794;0.00794
29;100000;866;0.00866
30;100000;523;0.00523
31;100000;179;0.00179
32;100000;806;0.00806
33;100000;265;0.00265
34;100000;349;0.00349
35;100000;593;0.00593
36;100000;216;0.00216
37;100000;517;0.00517
38;100000;508;0.00508
39;100000;901;0.00901
40;100000;470;0.0047
41;100000;746;0.00746
42;100000;518;0.00518
43;100000;451;0.00451
44;100000;660;0.0066
45;100000;416;0.00416
46;100000;828;0.00828
47;100000;159;0.00159
48;100000;208;0.00208
49;100000;208;0.00208
50;100000;975;0.00975
51;100000;287;0.00287
52;100000;766;0.00766
53;100000;227;0.00227
54;100000;118;0.00118
55;100000;500;0.005
56;100000;386;0.00386
57;100000;445;0.00445
58;100000;663;0.00663
59;100000;874;0.00874
60;100000;661;0.00661
61;100000;261;0.00261
62;100000;221;0.00221
63;100000;132;0.00132
64;100000;23;0.00023
65;100000;116;0.00116
66;100000;1090;0.0109
67;100000;426;0.00426
68;100000;1199;0.01199
69;100000;538;0.00538
70;100000;183;0.00183
71;100000;139;0.00139
72;100000;341;0.00341
73;100000;958;0.00958
74;100000;495;0.00495
75;100000;141;0.00141
76;100000;1022;0.01022
77;100000;92;0.00092
78;100000;609;0.00609
79;100000;995;0.00995
80;100000;712;0.00712
81;100000;934;0.00934
82;100000;582;0.00582
83;100000;1166;0.01166
84;100000;17;0.00017
85;100000;614;0.00614
86;100000;528;0.00528
87;100000;850;0.0085
88;100000;724;0.00724
89;100000;420;0.0042
90;100000;512;0.00512
91;100000;777;0.00777
92;100000;659;0.00659
93;100000;980;0.0098
94;100000;707;0.00707
95;100000;1269;0.01269
96;100000;285;0.00285
97;100000;175;0.00175
98;100000;938;0.00938
99;100000;483;0.00483
