pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;22;0.00022
1;100000;19;0.00019
2;100000;14;0.00014
3;100000;14;0.00014
4;100000;15;0.00015
5;100000;15;0.00015
6;100000;16;0.00016
7;100000;17;0.00017
8;100000;17;0.00017
9;100000;18;0.00018
10;100000;15;0.00015
11;100000;16;0.00016
12;100000;15;0.00015
13;100000;17;0.00017
14;100000;19;0.00019
15;100000;17;0.00017
16;100000;16;0.00016
17;100000;19;0.00019
18;100000;14;0.00014
19;100000;13;0.00013
20;100000;15;0.00015
21;100000;22;0.00022
22;100000;19;0.00019
23;100000;21;0.00021
24;100000;18;0.00018
25;100000;14;0.00014
26;100000;18;0.00018
27;100000;15;0.00015
28;100000;22;0.00022
29;100000;19;0.00019
30;100000;16;0.00016
31;100000;17;0.00017
32;100000;15;0.00015
33;100000;22;0.00022
34;100000;22;0.00022
35;100000;19;0.00019
36;100000;16;0.00016
37;100000;14;0.00014
38;100000;15;0.00015
39;100000;13;0.00013
40;100000;14;0.00014
41;100000;15;0.00015
42;100000;19;0.00019
43;100000;17;0.00017
44;100000;27;0.00027
45;100000;28;0.00028
46;100000;22;0.00022
47;100000;20;0.0002
48;100000;18;0.00018
49;100000;17;0.00017
50;100000;16;0.00016
51;100000;26;0.00026
52;100000;20;0.0002
53;100000;14;0.00014
54;100000;17;0.00017
55;100000;20;0.0002
56;100000;18;0.00018
57;100000;16;0.00016
58;100000;18;0.00018
59;100000;18;0.00018
60;100000;19;0.00019
61;100000;18;0.00018
62;100000;19;0.00019
63;100000;24;0.00024
64;100000;16;0.00016
65;100000;22;0.00022
66;100000;25;0.00025
67;100000;22;0.00022
68;100000;15;0.00015
69;100000;14;0.00014
70;100000;14;0.00014
71;100000;15;0.00015
72;100000;16;0.00016
73;100000;15;0.00015
74;100000;17;0.00017
75;100000;14;0.00014
76;100000;18;0.00018
77;100000;14;0.00014
78;100000;14;0.00014
79;100000;23;0.00023
80;100000;17;0.00017
81;100000;19;0.00019
82;100000;15;0.00015
83;100000;14;0.00014
84;100000;14;0.00014
85;100000;13;0.00013
86;100000;15;0.00015
87;100000;14;0.00014
88;100000;15;0.00015
89;100000;14;0.00014
90;100000;14;0.00014
91;100000;14;0.00014
92;100000;15;0.00015
93;100000;13;0.00013
94;100000;13;0.00013
95;100000;14;0.00014
96;100000;13;0.00013
97;100000;14;0.00014
98;100000;20;0.0002
99;100000;14;0.00014
