pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;12;0.00012
1;100000;15;0.00015
2;100000;18;0.00018
3;100000;15;0.00015
4;100000;15;0.00015
5;100000;14;0.00014
6;100000;14;0.00014
7;100000;14;0.00014
8;100000;15;0.00015
9;100000;15;0.00015
10;100000;17;0.00017
11;100000;20;0.0002
12;100000;23;0.00023
13;100000;21;0.00021
14;100000;15;0.00015
15;100000;15;0.00015
16;100000;22;0.00022
17;100000;18;0.00018
18;100000;22;0.00022
19;100000;16;0.00016
20;100000;17;0.00017
21;100000;18;0.00018
22;100000;15;0.00015
23;100000;17;0.00017
24;100000;23;0.00023
25;100000;20;0.0002
26;100000;20;0.0002
27;100000;16;0.00016
28;100000;17;0.00017
29;100000;16;0.00016
30;100000;17;0.00017
31;100000;21;0.00021
32;100000;18;0.00018
33;100000;18;0.00018
34;100000;19;0.00019
35;100000;23;0.00023
36;100000;25;0.00025
37;100000;17;0.00017
38;100000;25;0.00025
39;100000;15;0.00015
40;100000;17;0.00017
41;100000;17;0.00017
42;100000;17;0.00017
43;100000;18;0.00018
44;100000;31;0.00031
45;100000;28;0.00028
46;100000;24;0.00024
47;100000;21;0.00021
48;100000;20;0.0002
49;100000;21;0.00021
50;100000;19;0.00019
51;100000;16;0.00016
52;100000;16;0.00016
53;100000;18;0.00018
54;100000;20;0.0002
55;100000;25;0.00025
56;100000;18;0.00018
57;100000;17;0.00017
58;100000;18;0.00018
59;100000;18;0.00018
60;100000;20;0.0002
61;100000;20;0.0002
62;100000;23;0.00023
63;100000;19;0.00019
64;100000;21;0.00021
65;100000;21;0.00021
66;100000;19;0.00019
67;100000;26;0.00026
68;100000;20;0.0002
69;100000;25;0.00025
70;100000;15;0.00015
71;100000;15;0.00015
72;100000;16;0.00016
73;100000;16;0.00016
74;100000;17;0.00017
75;100000;16;0.00016
76;100000;17;0.00017
77;100000;14;0.00014
78;100000;16;0.00016
79;100000;18;0.00018
80;100000;15;0.00015
81;100000;15;0.00015
82;100000;15;0.00015
83;100000;16;0.00016
84;100000;15;0.00015
85;100000;15;0.00015
86;100000;14;0.00014
87;100000;14;0.00014
88;100000;16;0.00016
89;100000;15;0.00015
90;100000;14;0.00014
91;100000;19;0.00019
92;100000;17;0.00017
93;100000;15;0.00015
94;100000;15;0.00015
95;100000;14;0.00014
96;100000;16;0.00016
97;100000;15;0.00015
98;100000;15;0.00015
99;100000;18;0.00018
