pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;554;0.00554
1;100000;169;0.00169
2;100000;195;0.00195
3;100000;86;0.00086
4;100000;435;0.00435
5;100000;404;0.00404
6;100000;218;0.00218
7;100000;154;0.00154
8;100000;26;0.00026
9;100000;569;0.00569
10;100000;624;0.00624
11;100000;341;0.00341
12;100000;667;0.00667
13;100000;219;0.00219
14;100000;328;0.00328
15;100000;535;0.00535
16;100000;391;0.00391
17;100000;104;0.00104
18;100000;599;0.00599
19;100000;20;0.0002
20;100000;532;0.00532
21;100000;528;0.00528
22;100000;274;0.00274
23;100000;231;0.00231
24;100000;466;0.00466
25;100000;456;0.00456
26;100000;473;0.00473
27;100000;210;0.0021
28;100000;71;0.00071
29;100000;518;0.00518
30;100000;136;0.00136
31;100000;125;0.00125
32;100000;448;0.00448
33;100000;18;0.00018
34;100000;175;0.00175
35;100000;77;0.00077
36;100000;56;0.00056
37;100000;126;0.00126
38;100000;108;0.00108
39;100000;379;0.00379
40;100000;262;0.00262
41;100000;378;0.00378
42;100000;401;0.00401
43;100000;235;0.00235
44;100000;366;0.00366
45;100000;206;0.00206
46;100000;61;0.00061
47;100000;363;0.00363
48;100000;19;0.00019
49;100000;378;0.00378
50;100000;136;0.00136
51;100000;198;0.00198
52;100000;207;0.00207
53;100000;54;0.00054
54;100000;290;0.0029
55;100000;140;0.0014
56;100000;52;0.00052
57;100000;258;0.00258
58;100000;45;0.00045
59;100000;193;0.00193
60;100000;79;0.00079
61;100000;284;0.00284
62;100000;175;0.00175
63;100000;103;0.00103
64;100000;130;0.0013
65;100000;147;0.00147
66;100000;105;0.00105
67;100000;151;0.00151
68;100000;169;0.00169
69;100000;177;0.00177
70;100000;55;0.00055
71;100000;64;0.00064
72;100000;147;0.00147
73;100000;110;0.0011
74;100000;99;0.00099
75;100000;189;0.00189
76;100000;123;0.00123
77;100000;199;0.00199
78;100000;149;0.00149
79;100000;72;0.00072
80;100000;94;0.00094
81;100000;46;0.00046
82;100000;57;0.00057
83;100000;46;0.00046
84;100000;48;0.00048
85;100000;115;0.00115
86;100000;73;0.00073
87;100000;76;0.00076
88;100000;116;0.00116
89;100000;113;0.00113
90;100000;53;0.00053
91;100000;62;0.00062
92;100000;32;0.00032
93;100000;76;0.00076
94;100000;72;0.00072
95;100000;22;0.00022
96;100000;26;0.00026
97;100000;29;0.00029
98;100000;20;0.0002
99;100000;22;0.00022
