pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;13;0.00013
1;100000;14;0.00014
2;100000;13;0.00013
3;100000;13;0.00013
4;100000;14;0.00014
5;100000;15;0.00015
6;100000;15;0.00015
7;100000;15;0.00015
8;100000;13;0.00013
9;100000;17;0.00017
10;100000;13;0.00013
11;100000;14;0.00014
12;100000;14;0.00014
13;100000;14;0.00014
14;100000;14;0.00014
15;100000;15;0.00015
16;100000;16;0.00016
17;100000;15;0.00015
18;100000;17;0.00017
19;100000;18;0.00018
20;100000;16;0.00016
21;100000;15;0.00015
22;100000;15;0.00015
23;100000;15;0.00015
24;100000;15;0.00015
25;100000;15;0.00015
26;100000;18;0.00018
27;100000;16;0.00016
28;100000;15;0.00015
29;100000;16;0.00016
30;100000;14;0.00014
31;100000;17;0.00017
32;100000;15;0.00015
33;100000;16;0.00016
34;100000;16;0.00016
35;100000;15;0.00015
36;100000;17;0.00017
37;100000;19;0.00019
38;100000;14;0.00014
39;100000;18;0.00018
40;100000;19;0.00019
41;100000;18;0.00018
42;100000;15;0.00015
43;100000;16;0.00016
44;100000;18;0.00018
45;100000;15;0.00015
46;100000;16;0.00016
47;100000;15;0.00015
48;100000;16;0.00016
49;100000;18;0.00018
50;100000;23;0.00023
51;100000;21;0.00021
52;100000;16;0.00016
53;100000;15;0.00015
54;100000;16;0.00016
55;100000;15;0.00015
56;100000;16;0.00016
57;100000;15;0.00015
58;100000;16;0.00016
59;100000;19;0.00019
60;100000;18;0.00018
61;100000;16;0.00016
62;100000;17;0.00017
63;100000;20;0.0002
64;100000;16;0.00016
65;100000;16;0.00016
66;100000;16;0.00016
67;100000;17;0.00017
68;100000;16;0.00016
69;100000;16;0.00016
70;100000;16;0.00016
71;100000;15;0.00015
72;100000;15;0.00015
73;100000;16;0.00016
74;100000;17;0.00017
75;100000;16;0.00016
76;100000;17;0.00017
77;100000;56;0.00056
78;100000;16;0.00016
79;100000;16;0.00016
80;100000;17;0.00017
81;100000;16;0.00016
82;100000;16;0.00016
83;100000;18;0.00018
84;100000;16;0.00016
85;100000;15;0.00015
86;100000;16;0.00016
87;100000;16;0.00016
88;100000;16;0.00016
89;100000;16;0.00016
90;100000;18;0.00018
91;100000;19;0.00019
92;100000;16;0.00016
93;100000;17;0.00017
94;100000;16;0.00016
95;100000;22;0.00022
96;100000;21;0.00021
97;100000;16;0.00016
98;100000;21;0.00021
99;100000;22;0.00022
