pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;77;0,00077
1;100000;181;0,00181
2;100000;244;0,00244
3;100000;219;0,00219
4;100000;409;0,00409
5;100000;26;0,00026
6;100000;163;0,00163
7;100000;298;0,00298
8;100000;423;0,00423
9;100000;396;0,00396
10;100000;121;0,00121
11;100000;171;0,00171
12;100000;270;0,0027
13;100000;445;0,00445
14;100000;613;0,00613
15;100000;562;0,00562
16;100000;122;0,00122
17;100000;683;0,00683
18;100000;534;0,00534
19;100000;280;0,0028
20;100000;333;0,00333
21;100000;322;0,00322
22;100000;180;0,0018
23;100000;481;0,00481
24;100000;312;0,00312
25;100000;96;0,00096
26;100000;474;0,00474
27;100000;354;0,00354
28;100000;489;0,00489
29;100000;202;0,00202
30;100000;398;0,00398
31;100000;477;0,00477
32;100000;255;0,00255
33;100000;681;0,00681
34;100000;541;0,00541
35;100000;610;0,0061
36;100000;348;0,00348
37;100000;282;0,00282
38;100000;512;0,00512
39;100000;460;0,0046
40;100000;149;0,00149
41;100000;464;0,00464
42;100000;237;0,00237
43;100000;56;0,00056
44;100000;562;0,00562
45;100000;345;0,00345
46;100000;166;0,00166
47;100000;663;0,00663
48;100000;25;0,00025
49;100000;162;0,00162
50;100000;140;0,0014
51;100000;227;0,00227
52;100000;374;0,00374
53;100000;522;0,00522
54;100000;306;0,00306
55;100000;364;0,00364
56;100000;427;0,00427
57;100000;135;0,00135
58;100000;171;0,00171
59;100000;468;0,00468
60;100000;434;0,00434
61;100000;419;0,00419
62;100000;651;0,00651
63;100000;497;0,00497
64;100000;672;0,00672
65;100000;457;0,00457
66;100000;628;0,00628
67;100000;482;0,00482
68;100000;634;0,00634
69;100000;64;0,00064
70;100000;199;0,00199
71;100000;708;0,00708
72;100000;718;0,00718
73;100000;421;0,00421
74;100000;661;0,00661
75;100000;236;0,00236
76;100000;180;0,0018
77;100000;336;0,00336
78;100000;682;0,00682
79;100000;52;0,00052
80;100000;584;0,00584
81;100000;202;0,00202
82;100000;100;0,001
83;100000;508;0,00508
84;100000;594;0,00594
85;100000;590;0,0059
86;100000;428;0,00428
87;100000;381;0,00381
88;100000;204;0,00204
89;100000;624;0,00624
90;100000;129;0,00129
91;100000;768;0,00768
92;100000;355;0,00355
93;100000;604;0,00604
94;100000;476;0,00476
95;100000;495;0,00495
96;100000;369;0,00369
97;100000;379;0,00379
98;100000;136;0,00136
99;100000;114;0,00114
100;100000;32;0,00032
101;100000;635;0,00635
102;100000;373;0,00373
103;100000;635;0,00635
104;100000;79;0,00079
105;100000;31;0,00031
