pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;569;0,00569
1;100000;114;0,00114
2;100000;167;0,00167
3;100000;247;0,00247
4;100000;714;0,00714
5;100000;675;0,00675
6;100000;116;0,00116
7;100000;468;0,00468
8;100000;297;0,00297
9;100000;556;0,00556
10;100000;94;0,00094
11;100000;158;0,00158
12;100000;289;0,00289
13;100000;489;0,00489
14;100000;294;0,00294
15;100000;315;0,00315
16;100000;423;0,00423
17;100000;244;0,00244
18;100000;453;0,00453
19;100000;100;0,001
20;100000;143;0,00143
21;100000;569;0,00569
22;100000;539;0,00539
23;100000;603;0,00603
24;100000;46;0,00046
25;100000;143;0,00143
26;100000;338;0,00338
27;100000;94;0,00094
28;100000;260;0,0026
29;100000;571;0,00571
30;100000;365;0,00365
31;100000;161;0,00161
32;100000;513;0,00513
33;100000;80;0,0008
34;100000;311;0,00311
35;100000;179;0,00179
36;100000;118;0,00118
37;100000;351;0,00351
38;100000;358;0,00358
39;100000;494;0,00494
40;100000;456;0,00456
41;100000;300;0,003
42;100000;143;0,00143
43;100000;520;0,0052
44;100000;141;0,00141
45;100000;267;0,00267
46;100000;404;0,00404
47;100000;221;0,00221
48;100000;360;0,0036
49;100000;23;0,00023
50;100000;160;0,0016
51;100000;472;0,00472
52;100000;572;0,00572
53;100000;73;0,00073
54;100000;582;0,00582
55;100000;554;0,00554
56;100000;76;0,00076
57;100000;483;0,00483
58;100000;288;0,00288
59;100000;599;0,00599
60;100000;468;0,00468
61;100000;641;0,00641
62;100000;410;0,0041
63;100000;182;0,00182
64;100000;287;0,00287
65;100000;322;0,00322
66;100000;533;0,00533
67;100000;225;0,00225
68;100000;548;0,00548
69;100000;454;0,00454
70;100000;663;0,00663
71;100000;429;0,00429
72;100000;514;0,00514
73;100000;670;0,0067
74;100000;156;0,00156
75;100000;387;0,00387
76;100000;568;0,00568
77;100000;680;0,0068
78;100000;117;0,00117
79;100000;579;0,00579
80;100000;213;0,00213
81;100000;101;0,00101
82;100000;240;0,0024
83;100000;644;0,00644
84;100000;162;0,00162
85;100000;529;0,00529
86;100000;180;0,0018
87;100000;597;0,00597
88;100000;497;0,00497
89;100000;632;0,00632
90;100000;553;0,00553
91;100000;58;0,00058
92;100000;243;0,00243
93;100000;20;0,0002
94;100000;675;0,00675
95;100000;147;0,00147
96;100000;364;0,00364
97;100000;607;0,00607
98;100000;628;0,00628
99;100000;56;0,00056
