lp;ilosc;czas ca³kowity(ms);czas/zapis(ms)
0;1000000;110;0.00011
1;1000000;107;0.000107
2;1000000;117;0.000117
3;1000000;129;0.000129
4;1000000;132;0.000132
5;1000000;122;0.000122
6;1000000;130;0.00013
7;1000000;113;0.000113
8;1000000;122;0.000122
9;1000000;130;0.00013
10;1000000;145;0.000145
11;1000000;141;0.000141
12;1000000;142;0.000142
13;1000000;132;0.000132
14;1000000;107;0.000107
15;1000000;108;0.000108
16;1000000;108;0.000108
17;1000000;117;0.000117
18;1000000;105;0.000105
19;1000000;126;0.000126
20;1000000;117;0.000117
21;1000000;119;0.000119
22;1000000;117;0.000117
23;1000000;120;0.00012
24;1000000;127;0.000127
25;1000000;120;0.00012
26;1000000;120;0.00012
27;1000000;111;0.000111
28;1000000;119;0.000119
29;1000000;132;0.000132
