pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;406;0.00406
1;100000;490;0.0049
2;100000;115;0.00115
3;100000;169;0.00169
4;100000;14;0.00014
5;100000;429;0.00429
6;100000;85;0.00085
7;100000;401;0.00401
8;100000;293;0.00293
9;100000;98;0.00098
10;100000;412;0.00412
11;100000;110;0.0011
12;100000;500;0.005
13;100000;159;0.00159
14;100000;341;0.00341
15;100000;524;0.00524
16;100000;334;0.00334
17;100000;20;0.0002
18;100000;167;0.00167
19;100000;153;0.00153
20;100000;369;0.00369
21;100000;129;0.00129
22;100000;125;0.00125
23;100000;65;0.00065
24;100000;24;0.00024
25;100000;129;0.00129
26;100000;352;0.00352
27;100000;284;0.00284
28;100000;470;0.0047
29;100000;12;0.00012
30;100000;288;0.00288
31;100000;403;0.00403
32;100000;146;0.00146
33;100000;342;0.00342
34;100000;339;0.00339
35;100000;45;0.00045
36;100000;18;0.00018
37;100000;144;0.00144
38;100000;352;0.00352
39;100000;225;0.00225
40;100000;377;0.00377
41;100000;332;0.00332
42;100000;264;0.00264
43;100000;14;0.00014
44;100000;315;0.00315
45;100000;78;0.00078
46;100000;77;0.00077
47;100000;146;0.00146
48;100000;147;0.00147
49;100000;145;0.00145
50;100000;186;0.00186
51;100000;172;0.00172
52;100000;150;0.0015
53;100000;68;0.00068
54;100000;279;0.00279
55;100000;283;0.00283
56;100000;187;0.00187
57;100000;125;0.00125
58;100000;270;0.0027
59;100000;255;0.00255
60;100000;181;0.00181
61;100000;156;0.00156
62;100000;56;0.00056
63;100000;203;0.00203
64;100000;230;0.0023
65;100000;194;0.00194
66;100000;69;0.00069
67;100000;196;0.00196
68;100000;144;0.00144
69;100000;24;0.00024
70;100000;140;0.0014
71;100000;14;0.00014
72;100000;165;0.00165
73;100000;107;0.00107
74;100000;177;0.00177
75;100000;47;0.00047
76;100000;153;0.00153
77;100000;170;0.0017
78;100000;145;0.00145
79;100000;128;0.00128
80;100000;55;0.00055
81;100000;133;0.00133
82;100000;55;0.00055
83;100000;34;0.00034
84;100000;69;0.00069
85;100000;12;0.00012
86;100000;18;0.00018
87;100000;79;0.00079
88;100000;35;0.00035
89;100000;17;0.00017
90;100000;64;0.00064
91;100000;14;0.00014
92;100000;15;0.00015
93;100000;58;0.00058
94;100000;11;0.00011
95;100000;18;0.00018
96;100000;19;0.00019
97;100000;12;0.00012
98;100000;14;0.00014
99;100000;12;0.00012
