pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;699;0.00699
1;100000;652;0.00652
2;100000;641;0.00641
3;100000;648;0.00648
4;100000;640;0.0064
5;100000;620;0.0062
6;100000;627;0.00627
7;100000;623;0.00623
8;100000;634;0.00634
9;100000;606;0.00606
10;100000;587;0.00587
11;100000;601;0.00601
12;100000;584;0.00584
13;100000;582;0.00582
14;100000;556;0.00556
15;100000;565;0.00565
16;100000;559;0.00559
17;100000;553;0.00553
18;100000;582;0.00582
19;100000;551;0.00551
20;100000;545;0.00545
21;100000;546;0.00546
22;100000;523;0.00523
23;100000;514;0.00514
24;100000;502;0.00502
25;100000;502;0.00502
26;100000;506;0.00506
27;100000;488;0.00488
28;100000;475;0.00475
29;100000;483;0.00483
30;100000;472;0.00472
31;100000;450;0.0045
32;100000;461;0.00461
33;100000;449;0.00449
34;100000;438;0.00438
35;100000;427;0.00427
36;100000;419;0.00419
37;100000;423;0.00423
38;100000;426;0.00426
39;100000;408;0.00408
40;100000;402;0.00402
41;100000;397;0.00397
42;100000;403;0.00403
43;100000;399;0.00399
44;100000;389;0.00389
45;100000;363;0.00363
46;100000;367;0.00367
47;100000;353;0.00353
48;100000;343;0.00343
49;100000;337;0.00337
50;100000;330;0.0033
51;100000;322;0.00322
52;100000;319;0.00319
53;100000;309;0.00309
54;100000;302;0.00302
55;100000;313;0.00313
56;100000;294;0.00294
57;100000;293;0.00293
58;100000;277;0.00277
59;100000;271;0.00271
60;100000;260;0.0026
61;100000;253;0.00253
62;100000;249;0.00249
63;100000;245;0.00245
64;100000;249;0.00249
65;100000;230;0.0023
66;100000;221;0.00221
67;100000;216;0.00216
68;100000;209;0.00209
69;100000;200;0.002
70;100000;196;0.00196
71;100000;189;0.00189
72;100000;187;0.00187
73;100000;180;0.0018
74;100000;172;0.00172
75;100000;166;0.00166
76;100000;162;0.00162
77;100000;154;0.00154
78;100000;159;0.00159
79;100000;145;0.00145
80;100000;139;0.00139
81;100000;135;0.00135
82;100000;132;0.00132
83;100000;125;0.00125
84;100000;120;0.0012
85;100000;112;0.00112
86;100000;106;0.00106
87;100000;100;0.001
88;100000;91;0.00091
89;100000;86;0.00086
90;100000;80;0.0008
91;100000;73;0.00073
92;100000;64;0.00064
93;100000;56;0.00056
94;100000;45;0.00045
95;100000;33;0.00033
96;100000;22;0.00022
97;100000;17;0.00017
98;100000;14;0.00014
99;100000;11;0.00011
