pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;13;0.00013
1;100000;12;0.00012
2;100000;12;0.00012
3;100000;11;0.00011
4;100000;12;0.00012
5;100000;11;0.00011
6;100000;10;0.0001
7;100000;14;0.00014
8;100000;11;0.00011
9;100000;11;0.00011
10;100000;12;0.00012
11;100000;12;0.00012
12;100000;13;0.00013
13;100000;12;0.00012
14;100000;18;0.00018
15;100000;12;0.00012
16;100000;12;0.00012
17;100000;13;0.00013
18;100000;13;0.00013
19;100000;12;0.00012
20;100000;13;0.00013
21;100000;13;0.00013
22;100000;11;0.00011
23;100000;11;0.00011
24;100000;12;0.00012
25;100000;12;0.00012
26;100000;11;0.00011
27;100000;13;0.00013
28;100000;11;0.00011
29;100000;12;0.00012
30;100000;14;0.00014
31;100000;12;0.00012
32;100000;11;0.00011
33;100000;12;0.00012
34;100000;11;0.00011
35;100000;13;0.00013
36;100000;13;0.00013
37;100000;12;0.00012
38;100000;11;0.00011
39;100000;11;0.00011
40;100000;11;0.00011
41;100000;12;0.00012
42;100000;11;0.00011
43;100000;11;0.00011
44;100000;13;0.00013
45;100000;12;0.00012
46;100000;12;0.00012
47;100000;13;0.00013
48;100000;12;0.00012
49;100000;14;0.00014
50;100000;11;0.00011
51;100000;12;0.00012
52;100000;12;0.00012
53;100000;11;0.00011
54;100000;11;0.00011
55;100000;12;0.00012
56;100000;11;0.00011
57;100000;11;0.00011
58;100000;11;0.00011
59;100000;11;0.00011
60;100000;12;0.00012
61;100000;12;0.00012
62;100000;12;0.00012
63;100000;11;0.00011
64;100000;11;0.00011
65;100000;14;0.00014
66;100000;11;0.00011
67;100000;11;0.00011
68;100000;11;0.00011
69;100000;12;0.00012
70;100000;12;0.00012
71;100000;16;0.00016
72;100000;11;0.00011
73;100000;12;0.00012
74;100000;12;0.00012
75;100000;11;0.00011
76;100000;12;0.00012
77;100000;13;0.00013
78;100000;11;0.00011
79;100000;11;0.00011
80;100000;11;0.00011
81;100000;12;0.00012
82;100000;12;0.00012
83;100000;11;0.00011
84;100000;11;0.00011
85;100000;13;0.00013
86;100000;14;0.00014
87;100000;12;0.00012
88;100000;11;0.00011
89;100000;11;0.00011
90;100000;11;0.00011
91;100000;12;0.00012
92;100000;11;0.00011
93;100000;11;0.00011
94;100000;13;0.00013
95;100000;11;0.00011
96;100000;14;0.00014
97;100000;13;0.00013
98;100000;11;0.00011
99;100000;11;0.00011
