pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;173;0.00173
1;100000;581;0.00581
2;100000;481;0.00481
3;100000;215;0.00215
4;100000;218;0.00218
5;100000;322;0.00322
6;100000;140;0.0014
7;100000;491;0.00491
8;100000;629;0.00629
9;100000;103;0.00103
10;100000;602;0.00602
11;100000;232;0.00232
12;100000;273;0.00273
13;100000;28;0.00028
14;100000;317;0.00317
15;100000;253;0.00253
16;100000;144;0.00144
17;100000;660;0.0066
18;100000;590;0.0059
19;100000;622;0.00622
20;100000;25;0.00025
21;100000;26;0.00026
22;100000;470;0.0047
23;100000;79;0.00079
24;100000;252;0.00252
25;100000;174;0.00174
26;100000;492;0.00492
27;100000;157;0.00157
28;100000;523;0.00523
29;100000;654;0.00654
30;100000;149;0.00149
31;100000;157;0.00157
32;100000;196;0.00196
33;100000;559;0.00559
34;100000;281;0.00281
35;100000;525;0.00525
36;100000;297;0.00297
37;100000;185;0.00185
38;100000;211;0.00211
39;100000;22;0.00022
40;100000;319;0.00319
41;100000;665;0.00665
42;100000;29;0.00029
43;100000;545;0.00545
44;100000;251;0.00251
45;100000;97;0.00097
46;100000;101;0.00101
47;100000;231;0.00231
48;100000;212;0.00212
49;100000;76;0.00076
50;100000;278;0.00278
51;100000;34;0.00034
52;100000;227;0.00227
53;100000;449;0.00449
54;100000;671;0.00671
55;100000;77;0.00077
56;100000;315;0.00315
57;100000;551;0.00551
58;100000;341;0.00341
59;100000;169;0.00169
60;100000;527;0.00527
61;100000;206;0.00206
62;100000;31;0.00031
63;100000;183;0.00183
64;100000;649;0.00649
65;100000;265;0.00265
66;100000;456;0.00456
67;100000;52;0.00052
68;100000;132;0.00132
69;100000;302;0.00302
70;100000;537;0.00537
71;100000;613;0.00613
72;100000;356;0.00356
73;100000;404;0.00404
74;100000;650;0.0065
75;100000;517;0.00517
76;100000;223;0.00223
77;100000;361;0.00361
78;100000;559;0.00559
79;100000;307;0.00307
80;100000;157;0.00157
81;100000;486;0.00486
82;100000;36;0.00036
83;100000;277;0.00277
84;100000;382;0.00382
85;100000;599;0.00599
86;100000;554;0.00554
87;100000;399;0.00399
88;100000;363;0.00363
89;100000;648;0.00648
90;100000;380;0.0038
91;100000;124;0.00124
92;100000;205;0.00205
93;100000;535;0.00535
94;100000;62;0.00062
95;100000;157;0.00157
96;100000;31;0.00031
97;100000;538;0.00538
98;100000;197;0.00197
99;100000;630;0.0063
