pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;212;0.000212
1;1000000;208;0.000208
2;1000000;149;0.000149
3;1000000;154;0.000154
4;1000000;153;0.000153
5;1000000;187;0.000187
6;1000000;161;0.000161
7;1000000;157;0.000157
8;1000000;144;0.000144
9;1000000;165;0.000165
10;1000000;152;0.000152
11;1000000;142;0.000142
12;1000000;143;0.000143
13;1000000;143;0.000143
14;1000000;149;0.000149
15;1000000;136;0.000136
16;1000000;170;0.00017
17;1000000;147;0.000147
18;1000000;131;0.000131
19;1000000;134;0.000134
20;1000000;131;0.000131
21;1000000;130;0.00013
22;1000000;132;0.000132
23;1000000;131;0.000131
24;1000000;131;0.000131
25;1000000;131;0.000131
26;1000000;130;0.00013
27;1000000;136;0.000136
28;1000000;134;0.000134
29;1000000;132;0.000132
