pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;101;0.000101
1;1000000;152;0.000152
2;1000000;143;0.000143
3;1000000;189;0.000189
4;1000000;160;0.00016
5;1000000;173;0.000173
6;1000000;161;0.000161
7;1000000;164;0.000164
8;1000000;144;0.000144
9;1000000;149;0.000149
10;1000000;133;0.000133
11;1000000;135;0.000135
12;1000000;138;0.000138
13;1000000;139;0.000139
14;1000000;142;0.000142
15;1000000;133;0.000133
16;1000000;142;0.000142
17;1000000;136;0.000136
18;1000000;147;0.000147
19;1000000;133;0.000133
20;1000000;138;0.000138
21;1000000;138;0.000138
22;1000000;152;0.000152
23;1000000;134;0.000134
24;1000000;133;0.000133
25;1000000;145;0.000145
26;1000000;133;0.000133
27;1000000;133;0.000133
28;1000000;136;0.000136
29;1000000;134;0.000134
