pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;179;0.00179
1;100000;481;0.00481
2;100000;420;0.0042
3;100000;309;0.00309
4;100000;196;0.00196
5;100000;492;0.00492
6;100000;171;0.00171
7;100000;257;0.00257
8;100000;151;0.00151
9;100000;423;0.00423
10;100000;168;0.00168
11;100000;129;0.00129
12;100000;362;0.00362
13;100000;299;0.00299
14;100000;361;0.00361
15;100000;66;0.00066
16;100000;241;0.00241
17;100000;562;0.00562
18;100000;126;0.00126
19;100000;118;0.00118
20;100000;138;0.00138
21;100000;270;0.0027
22;100000;183;0.00183
23;100000;164;0.00164
24;100000;252;0.00252
25;100000;405;0.00405
26;100000;419;0.00419
27;100000;461;0.00461
28;100000;138;0.00138
29;100000;24;0.00024
30;100000;355;0.00355
31;100000;185;0.00185
32;100000;365;0.00365
33;100000;203;0.00203
34;100000;412;0.00412
35;100000;45;0.00045
36;100000;22;0.00022
37;100000;343;0.00343
38;100000;154;0.00154
39;100000;112;0.00112
40;100000;163;0.00163
41;100000;281;0.00281
42;100000;96;0.00096
43;100000;18;0.00018
44;100000;140;0.0014
45;100000;280;0.0028
46;100000;326;0.00326
47;100000;185;0.00185
48;100000;325;0.00325
49;100000;209;0.00209
50;100000;172;0.00172
51;100000;199;0.00199
52;100000;233;0.00233
53;100000;90;0.0009
54;100000;297;0.00297
55;100000;64;0.00064
56;100000;159;0.00159
57;100000;200;0.002
58;100000;263;0.00263
59;100000;229;0.00229
60;100000;146;0.00146
61;100000;215;0.00215
62;100000;73;0.00073
63;100000;65;0.00065
64;100000;142;0.00142
65;100000;231;0.00231
66;100000;64;0.00064
67;100000;122;0.00122
68;100000;74;0.00074
69;100000;139;0.00139
70;100000;101;0.00101
71;100000;88;0.00088
72;100000;100;0.001
73;100000;187;0.00187
74;100000;84;0.00084
75;100000;73;0.00073
76;100000;54;0.00054
77;100000;166;0.00166
78;100000;25;0.00025
79;100000;120;0.0012
80;100000;126;0.00126
81;100000;133;0.00133
82;100000;88;0.00088
83;100000;26;0.00026
84;100000;79;0.00079
85;100000;69;0.00069
86;100000;112;0.00112
87;100000;24;0.00024
88;100000;72;0.00072
89;100000;64;0.00064
90;100000;63;0.00063
91;100000;22;0.00022
92;100000;19;0.00019
93;100000;52;0.00052
94;100000;22;0.00022
95;100000;46;0.00046
96;100000;36;0.00036
97;100000;20;0.0002
98;100000;20;0.0002
99;100000;19;0.00019
