pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;1;1e-05
1;100000;0;0
2;100000;0;0
3;100000;0;0
4;100000;0;0
5;100000;1;1e-05
6;100000;1;1e-05
7;100000;1;1e-05
8;100000;1;1e-05
9;100000;0;0
10;100000;0;0
11;100000;0;0
12;100000;0;0
13;100000;0;0
14;100000;0;0
15;100000;1;1e-05
16;100000;1;1e-05
17;100000;1;1e-05
18;100000;1;1e-05
19;100000;1;1e-05
20;100000;1;1e-05
21;100000;1;1e-05
22;100000;1;1e-05
23;100000;1;1e-05
24;100000;1;1e-05
25;100000;0;0
26;100000;0;0
27;100000;0;0
28;100000;0;0
29;100000;1;1e-05
30;100000;1;1e-05
31;100000;1;1e-05
32;100000;1;1e-05
33;100000;1;1e-05
34;100000;0;0
35;100000;1;1e-05
36;100000;1;1e-05
37;100000;0;0
38;100000;0;0
39;100000;0;0
40;100000;0;0
41;100000;0;0
42;100000;0;0
43;100000;0;0
44;100000;0;0
45;100000;0;0
46;100000;1;1e-05
47;100000;1;1e-05
48;100000;1;1e-05
49;100000;1;1e-05
50;100000;1;1e-05
51;100000;1;1e-05
52;100000;1;1e-05
53;100000;1;1e-05
54;100000;0;0
55;100000;0;0
56;100000;0;0
57;100000;1;1e-05
58;100000;1;1e-05
59;100000;1;1e-05
60;100000;1;1e-05
61;100000;1;1e-05
62;100000;1;1e-05
63;100000;1;1e-05
64;100000;1;1e-05
65;100000;1;1e-05
66;100000;0;0
67;100000;1;1e-05
68;100000;1;1e-05
69;100000;1;1e-05
70;100000;1;1e-05
71;100000;1;1e-05
72;100000;1;1e-05
73;100000;1;1e-05
74;100000;1;1e-05
75;100000;1;1e-05
76;100000;0;0
77;100000;1;1e-05
78;100000;1;1e-05
79;100000;1;1e-05
80;100000;1;1e-05
81;100000;1;1e-05
82;100000;1;1e-05
83;100000;0;0
84;100000;0;0
85;100000;0;0
86;100000;0;0
87;100000;0;0
88;100000;0;0
89;100000;0;0
90;100000;0;0
91;100000;0;0
92;100000;0;0
93;100000;0;0
94;100000;0;0
95;100000;1;1e-05
96;100000;1;1e-05
97;100000;1;1e-05
98;100000;1;1e-05
99;100000;1;1e-05
