pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;100000;9;9e-05
1;100000;10;0.0001
2;100000;10;0.0001
3;100000;11;0.00011
4;100000;13;0.00013
5;100000;12;0.00012
6;100000;11;0.00011
7;100000;11;0.00011
8;100000;13;0.00013
9;100000;11;0.00011
10;100000;11;0.00011
11;100000;11;0.00011
12;100000;12;0.00012
13;100000;14;0.00014
14;100000;15;0.00015
15;100000;14;0.00014
16;100000;12;0.00012
17;100000;15;0.00015
18;100000;12;0.00012
19;100000;18;0.00018
20;100000;18;0.00018
21;100000;17;0.00017
22;100000;14;0.00014
23;100000;15;0.00015
24;100000;11;0.00011
25;100000;13;0.00013
26;100000;13;0.00013
27;100000;13;0.00013
28;100000;16;0.00016
29;100000;15;0.00015
30;100000;16;0.00016
31;100000;13;0.00013
32;100000;14;0.00014
33;100000;16;0.00016
34;100000;17;0.00017
35;100000;16;0.00016
36;100000;17;0.00017
37;100000;14;0.00014
38;100000;19;0.00019
39;100000;16;0.00016
40;100000;17;0.00017
41;100000;13;0.00013
42;100000;12;0.00012
43;100000;13;0.00013
44;100000;11;0.00011
45;100000;11;0.00011
46;100000;14;0.00014
47;100000;15;0.00015
48;100000;16;0.00016
49;100000;16;0.00016
50;100000;16;0.00016
51;100000;17;0.00017
52;100000;14;0.00014
53;100000;18;0.00018
54;100000;14;0.00014
55;100000;18;0.00018
56;100000;12;0.00012
57;100000;14;0.00014
58;100000;15;0.00015
59;100000;16;0.00016
60;100000;16;0.00016
61;100000;13;0.00013
62;100000;13;0.00013
63;100000;14;0.00014
64;100000;13;0.00013
65;100000;12;0.00012
66;100000;15;0.00015
67;100000;12;0.00012
68;100000;13;0.00013
69;100000;16;0.00016
70;100000;13;0.00013
71;100000;12;0.00012
72;100000;13;0.00013
73;100000;15;0.00015
74;100000;14;0.00014
75;100000;14;0.00014
76;100000;14;0.00014
77;100000;50;0.0005
78;100000;19;0.00019
79;100000;12;0.00012
80;100000;13;0.00013
81;100000;14;0.00014
82;100000;13;0.00013
83;100000;15;0.00015
84;100000;16;0.00016
85;100000;19;0.00019
86;100000;16;0.00016
87;100000;16;0.00016
88;100000;15;0.00015
89;100000;17;0.00017
90;100000;17;0.00017
91;100000;12;0.00012
92;100000;15;0.00015
93;100000;13;0.00013
94;100000;13;0.00013
95;100000;11;0.00011
96;100000;15;0.00015
97;100000;11;0.00011
98;100000;15;0.00015
99;100000;13;0.00013
